,Date,Open,High,Low,Close,Adj Close,Volume,environment_negative_percentage,government_negative_percentage,neutral_negative_percentage,social_negative_percentage,environment_positive_percentage,government_positive_percentage,neutral_positive_percentage,social_positive_percentage
35,2023-10-19,31.379999,31.5,30.91,31.190001,29.452728,26880300,,0.0,,,,100.0,,
36,2023-10-20,31.059999,31.110001,30.48,30.65,28.942802,39378900,,,,0.0,,,,100.0
37,2023-10-23,30.77,31.389999,30.530001,30.84,29.122221,29412100,,100.0,100.0,0.0,,0.0,0.0,100.0
38,2023-10-24,30.879999,31.030001,30.32,30.43,28.73506,26923800,,,,0.0,,,,100.0
39,2023-10-25,30.459999,31.0,30.219999,30.73,29.018347,28857900,100.0,,,0.0,0.0,,,100.0
40,2023-10-26,30.610001,31.370001,30.5,31.16,29.424397,27162700,100.0,0.0,,50.0,0.0,100.0,,50.0
41,2023-10-30,30.24,30.68,30.110001,30.549999,28.848373,33063500,,100.0,100.0,0.0,,0.0,0.0,100.0
42,2023-10-31,30.290001,30.82,29.700001,30.559999,28.857817,42648200,100.0,50.0,,66.66666666666666,0.0,50.0,,33.33333333333333
43,2023-11-01,30.559999,31.08,30.469999,30.51,28.810602,23568300,,,,25.0,,,,75.0
44,2023-11-02,30.51,30.65,30.209999,30.5,28.801159,29640900,,0.0,,100.0,,100.0,,0.0
45,2023-11-03,30.9,31.389999,30.84,31.26,29.518827,28062100,,100.0,,50.0,,0.0,,50.0
46,2023-11-06,31.32,31.41,30.959999,31.18,29.443283,27381200,,100.0,,0.0,,0.0,,100.0
47,2023-11-07,31.08,31.389999,30.889999,31.25,29.509384,18086400,0.0,0.0,,50.0,100.0,100.0,,50.0
48,2023-11-09,30.49,30.51,29.629999,29.68,28.404703,28737700,100.0,100.0,0.0,,0.0,0.0,100.0,
49,2023-11-10,29.75,29.82,29.030001,29.48,28.213293,33844100,,100.0,,,,0.0,,
50,2023-11-14,29.09,29.709999,28.99,29.26,28.002748,40084300,0.0,100.0,,100.0,100.0,0.0,,0.0
51,2023-11-15,29.209999,30.35,29.209999,30.190001,28.89279,43614600,,,,50.0,,,,50.0
52,2023-11-16,30.27,30.450001,29.469999,29.77,28.490835,32407200,,100.0,,25.0,,0.0,,75.0
53,2023-11-17,29.92,30.01,29.74,29.92,28.63439,27009200,100.0,50.0,,0.0,0.0,50.0,,100.0
54,2023-11-20,29.9,30.139999,29.76,29.98,28.691811,26335700,,100.0,,,,0.0,,
55,2023-11-21,30.02,30.360001,29.76,30.299999,28.99806,25988700,,50.0,,0.0,,50.0,,100.0
56,2023-11-22,30.389999,30.58,30.139999,30.32,29.0172,19226800,100.0,,100.0,,0.0,,0.0,
57,2023-11-28,30.110001,30.110001,29.639999,29.690001,28.414272,29497700,0.0,0.0,,,100.0,100.0,,
58,2023-11-29,29.77,30.219999,29.73,30.08,28.787516,26185200,0.0,0.0,,0.0,100.0,100.0,,100.0
59,2023-11-30,30.309999,30.51,29.959999,30.469999,29.160755,45356600,,80.0,,0.0,,20.0,,100.0
60,2023-12-01,28.969999,29.4,28.299999,28.91,27.667788,103542800,,,50.0,100.0,,,50.0,0.0
61,2023-12-04,29.02,29.639999,29.02,29.280001,28.021891,47410400,0.0,75.0,,50.0,100.0,25.0,,50.0
62,2023-12-05,29.209999,29.6,29.07,29.09,27.840054,39853000,,100.0,,0.0,,0.0,,100.0
63,2023-12-07,28.82,28.9,28.5,28.629999,27.399817,35782900,0.0,,,0.0,100.0,,,100.0
64,2023-12-08,28.65,28.969999,28.59,28.780001,27.543373,31881700,,0.0,,,,100.0,,
65,2023-12-11,28.780001,28.809999,28.440001,28.639999,27.409388,37833900,,100.0,,0.0,,0.0,,100.0
66,2023-12-12,28.620001,28.860001,28.35,28.58,27.351969,48587500,100.0,100.0,,0.0,0.0,0.0,,100.0
67,2023-12-13,26.280001,26.73,25.76,26.66,25.514465,158100700,0.0,80.0,,50.0,100.0,20.0,,50.0
68,2023-12-14,26.76,27.32,26.01,26.129999,25.007238,101889800,,100.0,50.0,66.66666666666666,,0.0,50.0,33.33333333333333
69,2023-12-15,26.129999,26.99,26.08,26.629999,25.485754,138338500,,,,50.0,,,,50.0
70,2023-12-18,26.92,27.299999,26.719999,27.059999,25.897278,63329400,,,,33.33333333333333,,,,66.66666666666666
71,2023-12-19,27.280001,28.24,27.27,28.16,26.950014,70094700,,100.0,,,,0.0,,
72,2023-12-20,28.190001,28.26,27.610001,27.629999,26.442785,56184300,,100.0,,50.0,,0.0,,50.0
73,2023-12-21,27.860001,28.360001,27.780001,28.309999,27.093567,51056600,,,,100.0,,,,0.0
74,2023-12-22,28.440001,28.790001,28.18,28.4,27.179701,35087200,0.0,100.0,,75.0,100.0,0.0,,25.0
75,2023-12-26,28.43,28.530001,28.25,28.41,27.189272,30119100,,100.0,,,,0.0,,
76,2023-12-27,28.469999,28.73,28.309999,28.610001,27.38068,35000700,,100.0,,100.0,,0.0,,0.0
77,2023-12-28,28.610001,29.030001,28.58,28.790001,27.552944,30472900,0.0,100.0,,0.0,100.0,0.0,,100.0
78,2023-12-29,28.780001,28.870001,28.540001,28.790001,27.552944,30342500,,100.0,,,,0.0,,
79,2024-01-02,28.879999,30.280001,28.83,29.73,28.452553,57948700,,,100.0,50.0,,,0.0,50.0
80,2024-01-03,30.0,30.040001,29.41,29.73,28.452553,43426500,,0.0,,0.0,,100.0,,100.0
81,2024-01-04,29.790001,29.950001,29.030001,29.09,27.840054,45558200,0.0,,,0.0,100.0,,,100.0
